run_id,split,middle_route_duration_s,middle_route_ground_speed_m_s,median_radial_ground_speed_m_s,median_target_ground_speed_m_s,median_lean_deg,lean_near_30deg_fraction,median_altitude_delta_m,n_middle_position_samples
pipeline-0147-run-001,train,73.16243509028891,10.006657803265053,10.00787852708188,10.00569923164818,15.44049820218046,0.0,-0.01160430908203125,732
pipeline-0148-run-001,train,35.63248632312485,9.998812108045723,10.011474672842235,10.011297806493543,26.763750448807777,0.0,-0.010101318359375,356
pipeline-0149-run-001,validation,23.946800158024757,8.53777901345668,8.548468898659205,10.518423155046728,29.99735856580303,1.0,-0.024272918701171875,239
pipeline-0150-run-001,train,86.01035854237301,10.007931857535823,10.011748078099187,10.011386430315124,25.061490346674717,0.0,-0.005861282348639918,860
pipeline-0151-run-001,train,14.323783251345361,9.976297798382614,9.992457939666231,10.014650746811776,17.499707223229343,0.0,-0.0239715576171875,143
pipeline-0152-run-001,validation,19.639792402631556,8.914497903704646,8.933606867782252,10.51719212332673,30.002240964113962,1.0,-0.01029205322265625,196
pipeline-0153-run-001,test,57.72002809184869,10.002885630482297,10.014132172787411,10.014244733994184,28.96175208328531,0.0,-0.02053833007813921,577
pipeline-0154-run-001,validation,19.444146457628676,7.467378941299045,7.476988732436116,10.498411726411291,29.997083662022835,1.0,-0.012218475341796875,194
pipeline-0155-run-001,train,27.360033677581185,9.996374935897716,10.00761344645802,10.010439253612526,22.656904638626145,0.0,-0.016452789306640625,273
pipeline-0156-run-001,validation,71.01724828928826,10.005895746373271,10.006855467474553,10.005741935776346,19.38187911839956,0.0,-0.003356933593735789,711
pipeline-0157-run-001,test,61.8013168808489,10.003920359928516,10.015986182582461,10.015916187004336,19.598959123575913,0.0,-0.0105438232421875,618
pipeline-0158-run-001,train,32.06379636160921,9.997113503202382,10.011193884960893,10.012766958859796,25.56739073496289,0.0,-0.003551483154296875,320
pipeline-0159-run-001,train,49.98666012318691,10.000297459144083,10.014197387216,10.014180623168876,27.686664716116677,0.0,-0.002532958984375,500
pipeline-0160-run-001,train,43.935857381493946,9.998346732107908,10.010808637716666,10.010240571730872,27.203248750093366,0.0,-0.0089263916015625,440
pipeline-0161-run-001,train,73.67508005251523,10.007105477254658,10.012105858214325,10.010733380576355,27.880546441637232,0.0,-0.0084228515625,737
pipeline-0162-run-001,train,65.83948620705331,10.005267039400698,9.992954977599485,9.99259564415382,11.31770514971095,0.0,-0.01784515380859375,658
pipeline-0163-run-001,train,83.0694340929802,10.007724545597053,10.011267336113912,10.010817604090153,20.969519823226648,0.0,-0.00266265869140625,831
pipeline-0164-run-001,train,59.30617799543239,10.002946609178586,10.01437240711708,10.013919275459784,28.72564393203532,0.0,-0.00490188598633523,593
pipeline-0165-run-001,validation,23.995868219005644,9.99476107340574,10.01419312935311,10.017302186158263,19.016677903520204,0.0,-0.00563812255859375,240
pipeline-0166-run-001,train,67.20669119856498,10.0048373436056,10.018927722456375,10.01928101217711,26.696996350368774,0.0,-0.0105743408203125,672
pipeline-0167-run-001,test,18.749895837506898,9.985517553704545,10.00949486753522,10.018156534807222,20.92957996615214,0.0,-0.01365661621095171,188
pipeline-0168-run-001,train,45.9767000292772,9.997599773646387,10.011516534480851,10.01116246479313,25.720118884907706,0.0,-0.003902435302734375,460
pipeline-0169-run-001,train,34.656422439215845,9.99786669778051,10.015752550693868,10.017377191390437,18.926177837462873,0.0,-0.0177001953125,347
pipeline-0170-run-001,train,65.51204630784932,10.004969270005363,10.019191099781075,10.0178745035934,26.547623740134227,0.0,-0.020053863525390625,656
pipeline-0171-run-001,test,72.97402544482901,10.006495295374767,10.011877095079917,10.01078655533124,25.364765062766814,0.0,-0.00921630859375,730
pipeline-0172-run-001,train,77.59821384171676,10.006788087818578,10.016854656147856,10.015993292287376,25.336214935261147,0.0,-0.017892837524414062,776
pipeline-0173-run-001,validation,76.08880122963086,10.006792484095143,10.01497882234067,10.014078806905713,23.570464728227492,0.0,-0.01094818115234375,761
pipeline-0174-run-001,train,29.416884340521676,9.99688238635261,10.011682516452211,10.01361031020086,24.27888124921084,0.0,-0.014179229736328125,294
pipeline-0175-run-001,validation,58.61362712796327,8.738781642563685,8.763056335650411,10.526189651288767,29.991477731459906,1.0,-0.0069580078125,587
pipeline-0176-run-001,test,22.86661911154505,9.988906584485965,10.00970277905325,10.015911456660735,27.93099614472889,0.0,-0.0055103302001953125,228
pipeline-0177-run-001,train,61.44143716495668,10.002849584489754,10.017172364935233,10.017016181003605,25.474725864733518,0.0,-0.01978683471678977,615
pipeline-0178-run-001,train,65.16561820836367,10.004916928035144,10.018415231589167,10.017060553143894,26.435177588724617,0.0,-0.014812469482421875,651
pipeline-0179-run-001,test,57.29206719864635,8.553975382777928,8.569515260873196,10.544906995650564,29.987305239938504,1.0,-0.00238800048828125,573
pipeline-0180-run-001,train,92.0343177574176,6.9648423667210775,6.983370837490417,10.539896850832951,29.996553317106976,1.0,-0.007717132568359375,921
pipeline-0181-run-001,train,31.673053681237235,7.997512447425252,8.013462255827267,10.519565653506605,29.995189994239716,1.0,-0.01101684570311079,317
