run_id,variant,model,architecture,seed,parameters,selected_epoch,train_mae_mah,validation_mae_mah,validation_rmse_mah,validation_max_underprediction_mah,validation_high_headwind_mae_mah
f3_cubic_learned__neural__32-16__20260924,f3_cubic_learned,neural,32-16,20260924.0,1953.0,598.0,4.320579313442953,47.06763862076648,94.59496839594004,443.3712786652277,97.87002042349653
f3_cubic_learned__neural__32-16__20260925,f3_cubic_learned,neural,32-16,20260925.0,1953.0,593.0,4.3165054185009515,46.24922814896524,78.2990070813564,356.16523391468854,98.28452733664653
f3_cubic_learned__neural__32-16__20260926,f3_cubic_learned,neural,32-16,20260926.0,1953.0,600.0,4.617777577052249,42.89181112006051,84.18165869626644,415.1856223665236,85.47554685650367
f3_cubic_learned__neural__32__20260924,f3_cubic_learned,neural,32,20260924.0,1441.0,593.0,3.6760821658326446,54.26061276049945,90.55379164865266,402.8428744474977,91.29825230476841
f3_cubic_learned__neural__32__20260925,f3_cubic_learned,neural,32,20260925.0,1441.0,598.0,4.413183524007599,42.96058917021911,68.82988581431607,261.3405008205118,76.6309683707218
f3_cubic_learned__neural__32__20260926,f3_cubic_learned,neural,32,20260926.0,1441.0,588.0,4.401469596341425,51.176420146514296,91.60663353085702,401.78779933156875,102.52613256420214
f3_cubic_learned__neural__512__20260924,f3_cubic_learned,neural,512,20260924.0,23041.0,454.0,13.365820709629778,30.886740653584855,57.632155115737795,302.76916974353526,58.33432271944749
f3_cubic_learned__neural__512__20260925,f3_cubic_learned,neural,512,20260925.0,23041.0,353.0,13.387535600457827,33.14272845392405,56.91618700121743,236.39948135259783,64.57228054984519
f3_cubic_learned__neural__512__20260926,f3_cubic_learned,neural,512,20260926.0,23041.0,203.0,23.004564003789664,53.87046780123215,87.980981637393,407.3111699813994,89.41216015076073
f3_cubic_learned__neural__64-32-16__20260924,f3_cubic_learned,neural,64-32-16,20260924.0,5441.0,553.0,7.026931488529224,34.12816333182568,71.72171047520366,360.0014893259877,65.6066122366543
f3_cubic_learned__neural__64-32-16__20260925,f3_cubic_learned,neural,64-32-16,20260925.0,5441.0,481.0,5.582118905419317,34.051323596544826,69.42220828472088,359.5940996633235,66.69674038638702
f3_cubic_learned__neural__64-32-16__20260926,f3_cubic_learned,neural,64-32-16,20260926.0,5441.0,597.0,3.9363503385254104,59.964811427192856,110.05906062646925,499.63490494348207,121.45960571410623
f3_cubic_learned__neural__64-32__20260924,f3_cubic_learned,neural,64-32,20260924.0,4929.0,579.0,4.920763161589397,39.93770899016808,82.71564861219208,401.90859823965957,86.18604673380482
f3_cubic_learned__neural__64-32__20260925,f3_cubic_learned,neural,64-32,20260925.0,4929.0,586.0,8.21984472445854,35.558245630481984,74.11916751379734,380.66646596282044,72.76885955137139
f3_cubic_learned__neural__64-32__20260926,f3_cubic_learned,neural,64-32,20260926.0,4929.0,560.0,7.017578686430141,42.933783880443045,95.44159430897626,470.51718825419084,86.37213255041107
f3_cubic_learned__neural__64__20260924,f3_cubic_learned,neural,64,20260924.0,2881.0,599.0,5.103377827107986,36.380088463406196,65.17789844288467,302.3159607892112,73.50125060898688
f3_cubic_learned__neural__64__20260925,f3_cubic_learned,neural,64,20260925.0,2881.0,574.0,15.24417641116775,42.98202734133903,73.21849803001474,326.01829485726694,74.71108418273762
f3_cubic_learned__neural__64__20260926,f3_cubic_learned,neural,64,20260926.0,2881.0,56.0,29.247333264998826,84.0099579493798,119.52692968886771,333.4631193409732,111.13127565925899
f3_cubic_learned__ridge__fixed,f3_cubic_learned,ridge,fixed,,,,21.009764813843145,37.55209326936853,75.74500747629047,414.5267777534773,62.59601953989806
f3_cubic_learned__xgboost__fixed,f3_cubic_learned,xgboost,fixed,,,,0.9557879425758582,57.38716585709397,123.2867164449401,544.9174926757814,106.76757225027616
