variable,bin,model,n_flights,small_sample_warning,mae_mah,mean_signed_error_mah,mean_underprediction_mah,p95_underprediction_mah
wind_route_regime,headwind,px4_style_multicopter_time_x_current,16,False,227.65239817868448,-227.65239817868448,227.65239817868448,465.7834285185174
wind_route_regime,crosswind,px4_style_multicopter_time_x_current,4,True,118.80612702642023,-118.80612702642023,118.80612702642023,148.87250515040947
wind_route_regime,tailwind,ridge__f0_route_and_wind,19,False,59.52967900863146,-1.9718834901968099,30.750781249414132,102.34315737153187
wind_route_regime,headwind,ridge__f0_route_and_wind,16,False,91.4420244304381,19.333257393761382,36.054383518338355,180.16750691925984
wind_route_regime,crosswind,ridge__f0_route_and_wind,4,True,37.02313744462418,-32.42354118862232,34.72333931662325,80.12867172537432
wind_route_regime,tailwind,neural_network__f0_route_and_wind,19,False,29.628834179775488,21.95141578822203,3.8387091957767288,36.41612687751934
wind_route_regime,headwind,neural_network__f0_route_and_wind,16,False,54.77572754754112,8.394580277204653,23.190573635168235,102.96103232533528
wind_route_regime,crosswind,neural_network__f0_route_and_wind,4,True,18.8049136182552,18.8049136182552,0.0,0.0
wind_route_regime,tailwind,xgboost__f0_route_and_wind,19,False,49.641100453646025,-2.238300823594968,25.939700638620497,103.62611572265591
wind_route_regime,headwind,xgboost__f0_route_and_wind,16,False,77.56380904331675,-35.92634127750865,56.745075160412696,200.22350921630843
wind_route_regime,crosswind,xgboost__f0_route_and_wind,4,True,35.897520459388005,8.206477368567645,13.84552154541018,47.07477325439459
wind_route_regime,tailwind,ridge__f1_vehicle_symptoms,19,False,58.81273382568014,6.734123319063063,26.03930525330854,101.97242148993219
wind_route_regime,headwind,ridge__f1_vehicle_symptoms,16,False,90.28756420071235,22.107573290381488,34.089995455165436,157.3098121066746
wind_route_regime,crosswind,ridge__f1_vehicle_symptoms,4,True,34.93371970653686,-23.634638645999758,29.28417917626831,73.42398959755769
wind_route_regime,tailwind,neural_network__f1_vehicle_symptoms,19,False,43.575871978016735,20.841651490700052,11.36711024365834,35.78787729518097
wind_route_regime,headwind,neural_network__f1_vehicle_symptoms,16,False,68.6000315632478,-9.886086497804548,39.24305903052617,131.10586113473693
